ref_date,selic,ref_year,period_label
2002-02-19,0.1905,2001-01-01,2001-2004
2002-02-20,0.1905,2001-01-01,2001-2004
2002-02-21,0.188,2001-01-01,2001-2004
2002-02-22,0.188,2001-01-01,2001-2004
2002-02-25,0.188,2001-01-01,2001-2004
2002-02-26,0.188,2001-01-01,2001-2004
2002-02-27,0.188,2001-01-01,2001-2004
2002-02-28,0.18789999999999998,2001-01-01,2001-2004
2002-03-01,0.188,2001-01-01,2001-2004
2002-03-04,0.188,2001-01-01,2001-2004
2002-03-05,0.188,2001-01-01,2001-2004
2002-03-06,0.188,2001-01-01,2001-2004
2002-03-07,0.188,2001-01-01,2001-2004
2002-03-08,0.188,2001-01-01,2001-2004
2002-03-11,0.188,2001-01-01,2001-2004
2002-03-12,0.188,2001-01-01,2001-2004
2002-03-13,0.188,2001-01-01,2001-2004
2002-03-14,0.188,2001-01-01,2001-2004
2002-03-15,0.188,2001-01-01,2001-2004
2002-03-18,0.188,2001-01-01,2001-2004
2002-03-19,0.188,2001-01-01,2001-2004
2002-03-20,0.18789999999999998,2001-01-01,2001-2004
2002-03-21,0.1855,2001-01-01,2001-2004
2002-03-22,0.18539999999999998,2001-01-01,2001-2004
2002-03-25,0.1855,2001-01-01,2001-2004
2002-03-26,0.1855,2001-01-01,2001-2004
2002-03-27,0.18539999999999998,2001-01-01,2001-2004
2002-03-28,0.1852,2001-01-01,2001-2004
2002-04-01,0.18469999999999998,2001-01-01,2001-2004
2002-04-02,0.184,2001-01-01,2001-2004
2002-04-03,0.184,2001-01-01,2001-2004
2002-04-04,0.184,2001-01-01,2001-2004
2002-04-05,0.184,2001-01-01,2001-2004
2002-04-08,0.184,2001-01-01,2001-2004
2002-04-09,0.184,2001-01-01,2001-2004
2002-04-10,0.184,2001-01-01,2001-2004
2002-04-11,0.184,2001-01-01,2001-2004
2002-04-12,0.184,2001-01-01,2001-2004
2002-04-15,0.184,2001-01-01,2001-2004
2002-04-16,0.184,2001-01-01,2001-2004
2002-04-17,0.184,2001-01-01,2001-2004
2002-04-18,0.184,2001-01-01,2001-2004
2002-04-19,0.1839,2001-01-01,2001-2004
2002-04-22,0.1838,2001-01-01,2001-2004
2002-04-23,0.18350000000000002,2001-01-01,2001-2004
2002-04-24,0.1834,2001-01-01,2001-2004
2002-04-25,0.1837,2001-01-01,2001-2004
2002-04-26,0.18359999999999999,2001-01-01,2001-2004
2002-04-29,0.18280000000000002,2001-01-01,2001-2004
2002-04-30,0.18109999999999998,2001-01-01,2001-2004
2002-05-02,0.1837,2001-01-01,2001-2004
2002-05-03,0.1834,2001-01-01,2001-2004
2002-05-06,0.1833,2001-01-01,2001-2004
2002-05-07,0.18280000000000002,2001-01-01,2001-2004
2002-05-08,0.1827,2001-01-01,2001-2004
2002-05-09,0.1834,2001-01-01,2001-2004
2002-05-10,0.1837,2001-01-01,2001-2004
2002-05-13,0.184,2001-01-01,2001-2004
2002-05-14,0.1841,2001-01-01,2001-2004
2002-05-15,0.18420000000000003,2001-01-01,2001-2004
2002-05-16,0.18420000000000003,2001-01-01,2001-2004
2002-05-17,0.1841,2001-01-01,2001-2004
2002-05-20,0.1841,2001-01-01,2001-2004
2002-05-21,0.184,2001-01-01,2001-2004
2002-05-22,0.1837,2001-01-01,2001-2004
2002-05-23,0.1841,2001-01-01,2001-2004
2002-05-24,0.18420000000000003,2001-01-01,2001-2004
2002-05-27,0.1841,2001-01-01,2001-2004
2002-05-28,0.1841,2001-01-01,2001-2004
2002-05-29,0.1833,2001-01-01,2001-2004
2002-05-31,0.1816,2001-01-01,2001-2004
2002-06-03,0.17309999999999998,2001-01-01,2001-2004
2002-06-04,0.159,2001-01-01,2001-2004
2002-06-05,0.16870000000000002,2001-01-01,2001-2004
2002-06-06,0.18,2001-01-01,2001-2004
2002-06-07,0.18230000000000002,2001-01-01,2001-2004
2002-06-10,0.18309999999999998,2001-01-01,2001-2004
2002-06-11,0.1834,2001-01-01,2001-2004
2002-06-12,0.18289999999999998,2001-01-01,2001-2004
2002-06-13,0.1832,2001-01-01,2001-2004
2002-06-14,0.1838,2001-01-01,2001-2004
2002-06-17,0.184,2001-01-01,2001-2004
2002-06-18,0.184,2001-01-01,2001-2004
2002-06-19,0.184,2001-01-01,2001-2004
2002-06-20,0.1841,2001-01-01,2001-2004
2002-06-21,0.1841,2001-01-01,2001-2004
2002-06-24,0.1841,2001-01-01,2001-2004
2002-06-25,0.1841,2001-01-01,2001-2004
2002-06-26,0.1841,2001-01-01,2001-2004
2002-06-27,0.1841,2001-01-01,2001-2004
2002-06-28,0.1841,2001-01-01,2001-2004
2002-07-01,0.1841,2001-01-01,2001-2004
2002-07-02,0.184,2001-01-01,2001-2004
2002-07-03,0.184,2001-01-01,2001-2004
2002-07-04,0.1839,2001-01-01,2001-2004
2002-07-05,0.1839,2001-01-01,2001-2004
2002-07-08,0.1841,2001-01-01,2001-2004
2002-07-09,0.1841,2001-01-01,2001-2004
2002-07-10,0.184,2001-01-01,2001-2004
2002-07-11,0.184,2001-01-01,2001-2004
2002-07-12,0.1839,2001-01-01,2001-2004
2002-07-15,0.1839,2001-01-01,2001-2004
2002-07-16,0.1839,2001-01-01,2001-2004
2002-07-17,0.1839,2001-01-01,2001-2004
2002-07-18,0.1789,2001-01-01,2001-2004
2002-07-19,0.1789,2001-01-01,2001-2004
2002-07-22,0.1789,2001-01-01,2001-2004
2002-07-23,0.1789,2001-01-01,2001-2004
2002-07-24,0.1787,2001-01-01,2001-2004
2002-07-25,0.1787,2001-01-01,2001-2004
2002-07-26,0.1787,2001-01-01,2001-2004
2002-07-29,0.17859999999999998,2001-01-01,2001-2004
2002-07-30,0.1784,2001-01-01,2001-2004
2002-07-31,0.1787,2001-01-01,2001-2004
2002-08-01,0.1783,2001-01-01,2001-2004
2002-08-02,0.1784,2001-01-01,2001-2004
2002-08-05,0.1787,2001-01-01,2001-2004
