ref_date,ticker,country,cumret_adjusted_prices
2016-10-14,BA,USA,1.0807088989217666
2016-10-17,BA,USA,1.0847562793173753
2016-10-18,BA,USA,1.093661327398835
2016-10-19,BA,USA,1.1024041332561558
2016-10-20,BA,USA,1.0996516904042855
2016-10-21,BA,USA,1.0979517807839383
2016-10-24,BA,USA,1.1126850112354068
2016-10-25,BA,USA,1.1253944459084477
2016-10-26,BA,USA,1.1781754223636256
2016-10-27,BA,USA,1.1601225963482364
2016-10-28,BA,USA,1.157694233218922
2016-10-31,BA,USA,1.152998878144292
2016-11-01,BA,USA,1.1528372430087357
2016-11-02,BA,USA,1.1393993460283423
2016-11-03,BA,USA,1.1334896818124687
2016-11-04,BA,USA,1.1296038661653343
2016-11-07,BA,USA,1.157856141104421
2016-11-08,BA,USA,1.1599772030318645
2016-11-09,BA,USA,1.1835518428442289
2016-11-10,BA,USA,1.204760544070677
2016-11-11,BA,USA,1.2115315790015952
2016-11-14,BA,USA,1.2235228982683457
2016-11-15,BA,USA,1.2081870752090116
2016-11-16,BA,USA,1.1945643241543689
2016-11-17,BA,USA,1.185509377983286
2016-11-18,BA,USA,1.193830090106288
2016-11-21,BA,USA,1.199295523850536
2016-11-22,BA,USA,1.2196889139087603
2016-11-23,BA,USA,1.221483335783538
2016-11-25,BA,USA,1.223930492263761
2016-11-28,BA,USA,1.2217282124420106
2016-11-29,BA,USA,1.2369824040829305
2016-11-30,BA,USA,1.2281727392960418
2016-12-01,BA,USA,1.243100572432624
2016-12-02,BA,USA,1.241958753187513
2016-12-05,BA,USA,1.241224519139432
2016-12-06,BA,USA,1.2418769897933195
2016-12-07,BA,USA,1.2573759261169333
2016-12-08,BA,USA,1.2675726915331273
2016-12-09,BA,USA,1.276545874310017
2016-12-12,BA,USA,1.2820111672801013
2016-12-13,BA,USA,1.277932429439437
2016-12-14,BA,USA,1.2600678272798502
2016-12-15,BA,USA,1.2543580623770154
2016-12-16,BA,USA,1.2603128359141016
2016-12-19,BA,USA,1.274016681685658
2016-12-20,BA,USA,1.275730281593465
2016-12-21,BA,USA,1.2846215777987682
2016-12-22,BA,USA,1.2844583237603249
2016-12-23,BA,USA,1.2873137429132429
2016-12-27,BA,USA,1.2846215777987682
2016-12-28,BA,USA,1.273364615757492
2016-12-29,BA,USA,1.2700199799891296
2016-12-30,BA,USA,1.2699380846191577
2017-01-03,BA,USA,1.2804613493138535
2017-01-04,BA,USA,1.293920723152659
2017-01-05,BA,USA,1.2946552211522975
2017-01-06,BA,USA,1.2978367348579956
2017-01-09,BA,USA,1.2914738306239935
2017-01-10,BA,USA,1.2975918581995232
2017-01-11,BA,USA,1.30028375936244
2017-01-12,BA,USA,1.2912290859413
2017-01-13,BA,USA,1.2956341910846874
2017-01-17,BA,USA,1.286171386966631
2017-01-18,BA,USA,1.2914738306239935
2017-01-19,BA,USA,1.2970208869882707
2017-01-20,BA,USA,1.3013440879633007
2017-01-23,BA,USA,1.2875583556201577
2017-01-24,BA,USA,1.3096645361347454
2017-01-25,BA,USA,1.3652162912766692
2017-01-26,BA,USA,1.3795730036294498
2017-01-27,BA,USA,1.3679898150596153
2017-01-30,BA,USA,1.350614702265416
2017-01-31,BA,USA,1.3330761946586092
2017-02-01,BA,USA,1.3375626496720825
2017-02-02,BA,USA,1.3236139272420535
2017-02-03,BA,USA,1.3247557464871644
2017-02-06,BA,USA,1.3376442722921114
2017-02-07,BA,USA,1.358200916388779
2017-02-08,BA,USA,1.3477521652188245
2017-02-09,BA,USA,1.351619046740886
2017-02-10,BA,USA,1.3676623743538905
2017-02-13,BA,USA,1.3824723267247998
2017-02-14,BA,USA,1.3863392082468615
2017-02-15,BA,USA,1.392921350644697
2017-02-16,BA,USA,1.4053448289985004
2017-02-17,BA,USA,1.4209770784555278
2017-02-21,BA,USA,1.444425523028151
2017-02-22,BA,USA,1.442780119404471
2017-02-23,BA,USA,1.4551214384367446
2017-02-24,BA,USA,1.459893313067955
2017-02-27,BA,USA,1.4762658322653497
2017-02-28,BA,USA,1.4828481066389643
