NU_ANO_CENSO,NO_IES,QT_DOC_TOTAL
2020,CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE,417
2020,UNIVERSIDADE CEUMA,706
2020,UNIVERSIDADE FEDERAL DO AMAPÁ,663
2020,UNIVERSIDADE SANTA CECÍLIA,446
2020,UNIVERSIDADE METROPOLITANA DE SANTOS,406
2020,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,302
2020,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,704
2020,CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO,357
2020,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,1489
2020,UNIVERSIDADE DO VALE DO TAQUARI,357
2020,UNIVERSIDADE POSITIVO,684
2020,CENTRO UNIVERSITÁRIO DA FUNDAÇÃO HERMINIO OMETTO,359
2020,UNIÃO DAS FACULDADES DOS GRANDES LAGOS,304
2020,Centro Universitário Estácio da Bahia,265
2020,CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB,432
2020,CENTRO UNIVERSITÁRIO - UNIESP,334
2020,CENTRO UNIVERSITÁRIO ARTHUR SÁ EARP NETO,349
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",877
2020,Centro Universitário Estácio do Ceará,371
2020,CENTRO UNIVERSITÁRIO EURO-AMERICANO,290
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",566
2020,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,912
2020,UNIVERSIDADE DE ITAÚNA,344
2020,UNIVERSIDADE CÂNDIDO MENDES,574
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DA PARAÍBA",717
2020,CENTRO UNIVERSITÁRIO JORGE AMADO,409
2020,UNIVERSIDADE DO PLANALTO CATARINENSE,392
2020,UNIVERSIDADE CESUMAR,489
2020,CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO,391
2020,Centro Universitário de Adamantina,261
2020,Centro Universitário das Américas,380
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",601
2020,CENTRO UNIVERSITÁRIO FACISA,385
2020,CENTRO UNIVERSITÁRIO ASSIS GURGACZ,359
2020,CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,421
2020,CENTRO UNIVERSITÁRIO SÃO LUCAS,353
2020,CENTRO UNIVERSITÁRIO DO NORTE,283
2020,CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA,325
2020,CENTRO UNIVERSIÁRIO UNIFTC SALVADOR,257
2020,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,254
2020,CENTRO UNIVERSITÁRIO DE JAGUARIÚNA,349
2020,CENTRO UNIVERSITÁRIO INTERNACIONAL,456
2020,CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA,360
2020,UNIVERSIDADE FUMEC,337
2020,CENTRO UNIVERSITÁRIO UNINOVAFAPI,288
2020,CENTRO UNIVERSITÁRIO ALFREDO NASSER,298
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",390
2020,FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA,256
2020,Centro Universitário Tiradentes de Pernambuco,264
2020,CENTRO UNIVERSITÁRIO DOUTOR LEÃO SAMPAIO,268
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO CEARÁ",1613
2020,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",1218
